# t,a,e,i,Omega,omega,varpi,f,M,lam
1.387950000000000000e+07,3.870986820423942265e-01,2.038867100538304389e-01,6.184729720315476520e+00,-1.387890959986918205e+01,1.461325359121828740e+02,1.322536263123136848e+02,1.397041542757481523e+02,1.226738272711789222e+02,2.549274535834925928e+02
1.424475000000000000e+07,3.870985643246754315e-01,2.035864330914848308e-01,6.203971486471637320e+00,-1.566451905291058111e+01,1.493882458748356612e+02,1.337237268219250836e+02,1.438209228547293321e+02,1.281759745627027769e+02,2.618997013846278605e+02
1.461000000000000000e+07,3.870979241129403614e-01,2.032837681564402810e-01,6.222743475317984441e+00,-1.744023283156877824e+01,1.526510257479963002e+02,1.352107929164275220e+02,1.478406690317492576e+02,1.336553156355912790e+02,2.688661085520187726e+02
1.497525000000000000e+07,3.870982283171634508e-01,2.030023906646421239e-01,6.240362455908133654e+00,-1.920914328222834300e+01,1.559084605707524531e+02,1.366993172885240995e+02,1.517976193073292848e+02,1.391418204175383551e+02,2.758411377060624545e+02
1.534050000000000000e+07,3.870980198028696195e-01,2.027189322555771056e-01,6.256450799080605307e+00,-2.097197833598827899e+01,1.591701276022841114e+02,1.381981492662958146e+02,1.556834824836941777e+02,1.446121497473119177e+02,2.828102990136077324e+02
1.570575000000000000e+07,3.870975762248204388e-01,2.024533630289372665e-01,6.270705133376750062e+00,-2.272866843393977732e+01,1.624359661456563799e+02,1.397072977117165919e+02,1.595163669166049658e+02,1.500769108946314532e+02,2.897842086063480451e+02
1.607100000000000000e+07,3.870977928661633038e-01,2.022262978990018722e-01,6.282787590333893668e+00,-2.448549060774290353e+01,1.657025623881254148e+02,1.412170717803824971e+02,1.633095226173691401e+02,1.555417101277901395e+02,2.967587819081726366e+02
1.643625000000000000e+07,3.870973502345127493e-01,2.019924973745620966e-01,6.292106844440180424e+00,-2.624020102039627034e+01,1.689819296454918174e+02,1.427417286250955328e+02,1.670573238637793736e+02,1.609885620237995454e+02,3.037302906488951066e+02
1.680150000000000000e+07,3.870978467873020801e-01,2.018189842711688720e-01,6.298753275574726196e+00,-2.799931262584815528e+01,1.722664990612093163e+02,1.442671864353611397e+02,1.707858523208074644e+02,1.664412585182913631e+02,3.107084449536524744e+02
1.716675000000000000e+07,3.870971188846181188e-01,2.016623434435722562e-01,6.302152922910622124e+00,-2.976436245698906902e+01,1.755630257873756364e+02,1.457986633303865744e+02,1.744890603129730096e+02,1.718816437657474694e+02,3.176803070961340723e+02
1.753200000000000000e+07,3.870977501728650738e-01,2.015372700427869035e-01,6.302107708366483152e+00,-3.153836121434850881e+01,1.788751659526240587e+02,1.473368047382755606e+02,1.781833482976440450e+02,1.773225985984214503e+02,3.246594033366969825e+02
1.789725000000000000e+07,3.870974643345319599e-01,2.014735353811947793e-01,6.298803172181996146e+00,-3.332625581722960106e+01,1.822021356822900486e+02,1.488758798650604547e+02,-1.781285318529394317e+02,1.827578467741709005e+02,3.316337266392313268e+02
1.826250000000000000e+07,3.870977598047701806e-01,2.014197022761479439e-01,6.291538856263411361e+00,-3.513125997094908115e+01,1.855468479604316201e+02,1.504155879894825603e+02,-1.744340151466941791e+02,1.881955983711650902e+02,3.386111863606476504e+02
1.862775000000000000e+07,3.870975051740795370e-01,2.014486235861119023e-01,6.280964833852301865e+00,-3.695581163553924142e+01,1.889145707748804170e+02,1.519587591393411969e+02,-1.707293620482044219e+02,1.936321054240987962e+02,3.455908645634399932e+02
1.899300000000000000e+07,3.870980944968200888e-01,2.014905714335328002e-01,6.266537681777054836e+00,-3.880758891957111700e+01,1.923035911107797631e+02,1.534960021912086461e+02,-1.670050727135769648e+02,1.990698370483561064e+02,3.525658392395647525e+02
1.935825000000000000e+07,3.870978130180364185e-01,2.015889474303319273e-01,6.248651427247924772e+00,-4.068700516836390335e+01,1.957176852000072529e+02,1.550306800316433282e+02,-1.632474899746077313e+02,2.045192860755460345e+02,3.595499661071893911e+02
1.972350000000000000e+07,3.870981233524212750e-01,2.017455190071025251e-01,6.227485967472893513e+00,-4.259912484295016810e+01,1.991610102395348747e+02,1.565618853965847279e+02,-1.594609580468829506e+02,2.099639386071013973e+02,6.525824003686112817e+00
2.008875000000000000e+07,3.870982401269697504e-01,2.019161984877851368e-01,6.203129045229341720e+00,-4.455071028405832578e+01,2.026301199234413275e+02,1.580794096393830159e+02,-1.556164478575457792e+02,2.154318006039718512e+02,1.351121024335484933e+01
