# t,a,e,i,Omega,omega,varpi,f,M,lam
2.301075000000000000e+07,9.561552748559430270e+00,1.907538766856047702e-02,1.997929985950723575e+00,7.876457575879219064e+01,1.552686125230250980e+02,2.340331882818172744e+02,1.207089674653594358e+02,1.188158742463086810e+02,3.528490625281259554e+02
2.337600000000000000e+07,9.578157923777219196e+00,1.460369962929226537e-02,1.899886997490699336e+00,7.682391685585331231e+01,1.818960397692680715e+02,2.587199566251214264e+02,7.585070685373938204e+01,7.423240378355100688e+01,3.329523604086724049e+02
2.374125000000000000e+07,9.520462789687895722e+00,1.224921974960478145e-02,1.799415502076334494e+00,7.496657502253901839e+01,1.793400583334465068e+02,2.543066333559855536e+02,5.959860442099502364e+01,5.839357588344792305e+01,3.127002092394334340e+02
2.410650000000000000e+07,9.579248536665035729e+00,1.603199085598053242e-02,1.692262451826599179e+00,7.342983305169948949e+01,2.101718679720975729e+02,2.836017010237970908e+02,8.890000935467130105e+00,8.609432308105336773e+00,2.922111333319023743e+02
2.447175000000000000e+07,9.567901208016445835e+00,1.489478761283954261e-02,1.584551477531374930e+00,7.213710633586158849e+01,2.356153876814001080e+02,3.077524940172617107e+02,-3.616679552582896662e+01,3.248314372215424441e+02,2.725839312388040980e+02
2.483700000000000000e+07,9.524685329723160621e+00,1.413302772468988215e-02,1.471275900005885706e+00,7.111852136588287010e+01,2.677041675165389734e+02,3.388226888824218577e+02,-8.839984688030790494e+01,2.732185143689947608e+02,2.520412032514166754e+02
2.520225000000000000e+07,9.578487759156896431e+00,1.459035577825718716e-02,1.358706844716463413e+00,7.071977182769198578e+01,2.696380917941922348e+02,3.403578636218842348e+02,-1.098592135724021261e+02,2.517191039262980894e+02,2.320769675481823526e+02
2.556750000000000000e+07,9.544621294245754228e+00,2.045566831157144896e-02,1.245798430360330444e+00,7.073341969293612408e+01,2.896863088802616630e+02,4.197285731978015466e-01,-1.496459267252530196e+02,2.115544669271012594e+02,2.119741955002990608e+02
2.593275000000000000e+07,9.534174091595879474e+00,2.290951452845013669e-02,1.131920680333036611e+00,7.173700950987139890e+01,3.042806492135354119e+02,1.601765872340680374e+01,1.758725620772009108e+02,1.756803219822751032e+02,1.916979807056819141e+02
2.629800000000000000e+07,9.585753430546882115e+00,2.395266053787517557e-02,1.024840839207569188e+00,7.362306411047460131e+01,3.108277834525003414e+02,2.445084756297494266e+01,1.487702305686732984e+02,1.473250174964015002e+02,1.717758650593764287e+02
2.666325000000000000e+07,9.521876146850500433e+00,3.072152999302297030e-02,9.238743707471024358e-01,7.664403265002985677e+01,3.109233333137876798e+02,2.756736596381758631e+01,1.267901406354224036e+02,1.239317628467486401e+02,1.514991288105662193e+02
2.702850000000000000e+07,9.559214398188988326e+00,3.589409541205457882e-02,8.376663793904878252e-01,8.139671289751613870e+01,3.172214331215683956e+02,3.861814601908453426e+01,9.679050122217299190e+01,9.269402570323438795e+01,1.313121717223189080e+02
2.739375000000000000e+07,9.576450037870618104e+00,3.790194143283229927e-02,7.698304150498389564e-01,8.784587944401526727e+01,3.199153904395870995e+02,4.776126988360235259e+01,6.743798836283946230e+01,6.347128900298982757e+01,1.112325588865921731e+02
2.775900000000000000e+07,9.517383260569287629e+00,4.165295611861909164e-02,7.260067893626025448e-01,9.586092451647290602e+01,3.102399086034944844e+02,4.610083311996741173e+01,4.842485155547719700e+01,4.492743079285700958e+01,9.102826391282442842e+01
2.812425000000000000e+07,9.583982111559034678e+00,4.970889882725140763e-02,7.154111971847060270e-01,1.049193452038666976e+02,3.086882045420302347e+02,5.360754974589693944e+01,1.866111261017793765e+01,1.690100266373396920e+01,7.050855240963090864e+01
2.848950000000000000e+07,9.559392336067636720e+00,5.255639978065680673e-02,7.369093731898951338e-01,1.138739725082445631e+02,3.063080862724767712e+02,6.018205878072136272e+01,-1.067378225169904304e+01,3.503998890958187644e+02,5.058194787654010582e+01
2.885475000000000000e+07,9.532722118630205799e+00,5.281678136477697960e-02,7.849977066930866609e-01,1.219249347451579268e+02,3.033401970218631050e+02,6.526513176702100338e+01,-3.895384060235062407e+01,3.247364551896789635e+02,3.000158695669998821e+01
2.922000000000000000e+07,9.579853476991361916e+00,5.893043614553589160e-02,8.602985886951152183e-01,1.280533179581127570e+02,2.997455579443683860e+02,6.779887590248118556e+01,-6.418082688005766556e+01,3.017801505198507357e+02,9.579026422331944346e+00
2.958525000000000000e+07,9.535253789028459437e+00,6.182812898379353578e-02,9.476480304470886740e-01,1.326572146785827897e+02,3.037585452139551307e+02,7.641575989253792045e+01,-9.425877442187154998e+01,2.728265469264954390e+02,3.492423068190333311e+02
2.995050000000000000e+07,9.556295206933317132e+00,6.313823153170852742e-02,1.051303877305850731e+00,1.357286456485595352e+02,3.044572305327169488e+02,8.018587618127648398e+01,-1.184247248242531754e+02,2.480811295751197463e+02,3.282670057563962587e+02
3.031575000000000000e+07,9.582759591257010712e+00,6.612676126116334707e-02,1.156470277432759319e+00,1.374991400484138069e+02,3.068021391895167653e+02,8.430127923793057221e+01,-1.412398039602610993e+02,2.236928557790206185e+02,3.079941350169511907e+02
3.068100000000000000e+07,9.528285245296240547e+00,7.307481691311121241e-02,1.265013000457570591e+00,1.383911981422972985e+02,3.137384843140320640e+02,9.212968245632937681e+01,-1.670980387855383356e+02,1.948765358383697333e+02,2.870062182946991243e+02
3.104625000000000000e+07,9.571308091148740260e+00,7.207846774302181792e-02,1.377106728129531721e+00,1.382677316652314516e+02,3.211086154447356762e+02,9.937634710996715626e+01,1.683615162364294520e+02,1.666026770046582044e+02,2.659790241146253607e+02
3.141150000000000000e+07,9.574891988312227653e+00,7.418480973192127792e-02,1.486866848420687948e+00,1.377146391101549057e+02,3.259278887378848140e+02,1.036425278480397054e+02,1.465795830100894079e+02,1.416719231089341804e+02,2.453144509569739000e+02
3.177675000000000000e+07,9.524244371118044228e+00,8.054236595939304189e-02,1.597654366626761080e+00,1.366590462148112408e+02,3.316977252508339689e+02,1.083567714656451670e+02,1.237565026584601071e+02,1.158235381349644939e+02,2.241803096006096609e+02
3.214200000000000000e+07,9.591378598198039285e+00,8.244972715428124099e-02,1.705359627336600070e+00,1.352089798427579694e+02,3.419454531280819651e+02,1.171544329708399488e+02,9.534157561523892355e+01,8.589079890081849555e+01,2.030452318716584159e+02
3.250725000000000000e+07,9.555042282132108156e+00,8.258105994406350625e-02,1.811485017031640554e+00,1.335731570308303731e+02,3.479372251072301196e+02,1.215103821380604501e+02,6.929058335277659353e+01,6.063766268775548696e+01,1.821480448258159299e+02
3.287250000000000000e+07,9.539610222908109449e+00,8.407933726223271176e-02,1.912347957197581216e+00,1.318228900698472614e+02,3.536279147744846796e+02,1.254508048443319410e+02,4.151835189356793876e+01,3.542448059442653374e+01,1.608752854387584534e+02
3.323775000000000000e+07,9.590522438519554882e+00,8.779089275762047562e-02,2.006434811006939878e+00,1.298235070304165220e+02,2.818490482064595515e+00,1.326419975124811117e+02,8.606982686734705013e+00,7.194213329447965322e+00,1.398362108419290735e+02
3.360300000000000000e+07,9.526595972000093226e+00,8.430818003820586548e-02,2.092827428643979637e+00,1.278364841488575507e+02,9.978756798218068269e+00,1.378152409470756083e+02,-2.275264977665312216e+01,3.407758678820452474e+02,1.185911088291208415e+02
3.396825000000000000e+07,9.573409864034562844e+00,8.637661225910416019e-02,2.172120936135909286e+00,1.256343397863659135e+02,1.522565713989184744e+01,1.408599969262577645e+02,-5.109876527377873856e+01,3.162961467473022026e+02,9.715614367355996706e+01
3.433350000000000000e+07,9.582856168184962442e+00,8.721477309012272416e-02,2.238774687556206899e+00,1.234136993631174448e+02,2.336432522664046729e+01,1.467780245897579050e+02,-8.022762061235914643e+01,2.895012150488685165e+02,7.627923963862647838e+01
3.469875000000000000e+07,9.525199797592502904e+00,8.512311368170923098e-02,2.300998144226638509e+00,1.210688196362733038e+02,3.404734264356691398e+01,1.551161622798402107e+02,-1.095317764954487672e+02,2.598511487651278458e+02,5.496731104496807774e+01
3.506400000000000000e+07,9.583053562867201336e+00,8.063481559291814371e-02,2.349785971784859484e+00,1.185584303766796097e+02,4.001414423146461985e+01,1.585725746081442367e+02,-1.320262343040834310e+02,2.351216627998749402e+02,3.369423740801919109e+01
3.542925000000000000e+07,9.554738182612544151e+00,8.154036150302686192e-02,2.393665738507370300e+00,1.160735190409446318e+02,4.804920126913037848e+01,1.641227203100750103e+02,-1.553723731817507598e+02,2.087484646217193642e+02,1.287118493179439582e+01
3.579450000000000000e+07,9.536716892709298676e+00,8.079338726231601042e-02,2.428200340334217167e+00,1.133699777717171173e+02,5.811472412966610079e+01,1.714847019013832039e+02,-1.798204192504401249e+02,1.802104588062064749e+02,3.516951607075896504e+02
3.615975000000000000e+07,9.580615760127905389e+00,7.534372430660721265e-02,2.454492205404214644e+00,1.107259797371888510e+02,6.664376811578620163e+01,1.773697478529750526e+02,1.569553265372743738e+02,1.533918017132787384e+02,3.307615495662538478e+02
